date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-17,article,claude-sonnet-4-6,27,5146,736947,19947
2026-06-17,heartbeat,claude-sonnet-4-6,10,6268,362217,31670
2026-06-17,heartbeat,claude-sonnet-4-6,12,6783,456582,32770
2026-06-19,heartbeat,claude-sonnet-4-6,13,7051,516362,33269
2026-06-19,heartbeat,claude-sonnet-4-6,10,6345,358209,32629
2026-06-20,heartbeat,claude-sonnet-4-6,7,5934,213281,31642
2026-06-20,heartbeat,claude-sonnet-4-6,11,3565,395591,29582
2026-06-20,heartbeat,claude-sonnet-4-6,11,4407,392786,30803
2026-06-21,heartbeat,claude-sonnet-4-6,134,3463,352272,29836
2026-06-21,heartbeat,claude-sonnet-4-6,10,4396,355758,30674
